year,rank,title,artist,modified_title,modified_artist
1946,1,"""Prisoner of Love""",Perry Como,Prisoner of Love,Perry Como
1946,2,"""To Each His Own""",Eddy Howard,To Each His Own,Eddy Howard
1946,3,"""The Gypsy""",The Ink Spots,The Gypsy,The Ink Spots
1946,4,"""Five Minutes More""",Frank Sinatra,Five Minutes More,Frank Sinatra
1946,5,"""Rumors Are Flying""",Frankie Carle,Rumors Are Flying,Frankie Carle
1946,6,"""Oh! What It Seemed to Be""",Frankie Carle,Oh! What It Seemed to Be,Frankie Carle
1946,7,"""Personality""",Johnny Mercer and The Pied Pipers,Personality,Johnny Mercer
1946,8,"""South America, Take It Away""",Bing Crosby and The Andrews Sisters,"South America, Take It Away",Bing Crosby
1946,9,"""The Gypsy""",Dinah Shore,The Gypsy,Dinah Shore
1946,10,"""Oh! What It Seemed to Be""",Frank Sinatra,Oh! What It Seemed to Be,Frank Sinatra
1946,11,"""Surrender""",Perry Como,Surrender,Perry Como
1946,12,"""Doctor, Lawyer, Indian Chief""",Betty Hutton,"Doctor, Lawyer, Indian Chief",Betty Hutton
1946,13,"""Let It Snow! Let It Snow! Let It Snow!""",Vaughn Monroe,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe
1946,14,"""To Each His Own""",Freddy Martin,To Each His Own,Freddy Martin
1946,15,"""Ole Buttermilk Sky""",Kay Kyser,Ole Buttermilk Sky,Kay Kyser
1946,16,"""To Each His Own""",The Ink Spots,To Each His Own,The Ink Spots
1946,17,"""Symphony""",Freddy Martin,Symphony,Freddy Martin
1946,18,"""The Old Lamp-Lighter""",Sammy Kaye,The Old Lamp-Lighter,Sammy Kaye
1946,19,"""I Can't Begin to Tell You""",Bing Crosby and Carmen Cavallaro,I Can't Begin to Tell You,Bing Crosby
1946,20,"""I'm a Big Girl Now""",Sammy Kaye,I'm a Big Girl Now,Sammy Kaye
1946,21,"""Symphony""",Bing Crosby,Symphony,Bing Crosby
1946,22,"""The Gypsy""",Sammy Kaye,The Gypsy,Sammy Kaye
1946,23,"""Doin' What Comes Natur'lly""",Dinah Shore with the Spade Cooley Orchestra,Doin' What Comes Natur'lly,Dinah Shore
1946,24,"""Laughing on the Outside (Crying on the Inside)""",Dinah Shore,Laughing on the Outside (Crying on the Inside),Dinah Shore
1946,25,"""Five Minutes More""",Tex Beneke with the Glenn Miller Orchestra,Five Minutes More,Tex Beneke
1946,26,"""Laughing on the Outside (Crying on the Inside)""",Andy Russell,Laughing on the Outside (Crying on the Inside),Andy Russell
1946,27,"""Hey! Ba-Ba-Re-Bop""",Tex Beneke with the Glenn Miller Orchestra,Hey! Ba-Ba-Re-Bop,Tex Beneke
1946,28,"""They Say It's Wonderful""",Perry Como,They Say It's Wonderful,Perry Como
1946,29,"""To Each His Own""",Tony Martin,To Each His Own,Tony Martin
1946,30,"""You Won't Be Satisfied (Until You Break My Heart)""",Les Brown,You Won't Be Satisfied (Until You Break My Heart),Les Brown
1946,31,"""Symphony""",Benny Goodman,Symphony,Benny Goodman
1946,32,"""Oh! What It Seemed to Be""",Charlie Spivak,Oh! What It Seemed to Be,Charlie Spivak
1946,33,"""Doin' What Comes Natur'lly""",Freddy Martin,Doin' What Comes Natur'lly,Freddy Martin
1946,34,"""The Old Lamp-Lighter""",Kay Kyser,The Old Lamp-Lighter,Kay Kyser
1946,35,"""Oh! What It Seemed to Be""",Dick Haymes and Helen Forrest,Oh! What It Seemed to Be,Dick Haymes
